epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6621,1.59557,2.11227,1.59465,1,0.70495,0.8275,0.48896,1.69498,3.56271,1.73472,0.00042,0.00042,0.00042
2,98.5814,1.71773,1.93588,1.6573,0.21093,0.72222,0.18244,0.07125,2.04398,6.53047,2.15165,0.00081743,0.00081743,0.00081743
3,152.823,1.88374,1.8781,1.82882,0.28252,0.16667,0.19475,0.0534,3.23915,23.3699,3.50954,0.0011713,0.0011713,0.0011713
4,206.83,1.91896,1.96499,1.91629,0.02297,0.27778,0.01761,0.00532,3.65272,42.2587,4.9064,0.00148161,0.00148161,0.00148161
5,260.891,1.9853,2.05124,1.95694,0.07692,0.05556,0.06573,0.01756,2.77226,111.145,3.85813,0.001604,0.001604,0.001604
6,314.825,1.88687,1.9781,1.85603,0.09114,0.38889,0.12331,0.02978,2.74786,15.7865,2.9081,0.001505,0.001505,0.001505
7,369.034,1.82698,1.94751,1.87308,0.14624,0.61111,0.32686,0.13278,2.66452,29.7999,2.74006,0.001406,0.001406,0.001406
8,423.356,1.90817,1.88769,1.90057,0.08751,0.44444,0.0762,0.02523,2.74981,25.0424,2.79162,0.001307,0.001307,0.001307
9,477.506,1.93279,1.95201,1.88842,0.39775,0.5,0.46218,0.18024,2.16034,14.6183,2.19705,0.001208,0.001208,0.001208
10,531.755,1.82632,1.84508,1.82615,0.47993,0.66667,0.59222,0.301,2.4096,4.73035,2.49584,0.001109,0.001109,0.001109
11,585.44,1.71349,1.78674,1.76719,0.42556,0.5,0.39412,0.19309,2.36419,2.31922,2.20979,0.00101,0.00101,0.00101
12,639.236,1.7955,1.61826,1.7613,0.63895,0.55556,0.63251,0.25641,2.33211,2.55986,2.13503,0.000911,0.000911,0.000911
13,693.286,1.72993,1.55769,1.76268,0.48705,0.77778,0.51498,0.28912,1.87569,2.24922,1.69791,0.000812,0.000812,0.000812
14,746.804,1.59163,1.42636,1.69957,0.70486,0.55556,0.66458,0.24855,2.19661,3.00345,2.08711,0.000713,0.000713,0.000713
15,800.22,1.49011,1.39086,1.6865,0.66063,0.83333,0.80897,0.40094,1.52601,1.28606,1.60922,0.000614,0.000614,0.000614
16,853.801,1.43151,1.23105,1.53623,0.91671,0.72222,0.86715,0.44918,1.56375,1.20363,1.56569,0.000515,0.000515,0.000515
17,907.524,1.43244,1.14833,1.52972,0.81366,0.66667,0.85142,0.39638,1.66963,1.33516,1.59683,0.000416,0.000416,0.000416
18,961.513,1.39234,1.11154,1.52873,0.88186,0.82962,0.92998,0.53819,1.5256,1.14598,1.49072,0.000317,0.000317,0.000317
19,1015.35,1.34667,1.00876,1.47998,0.65296,0.83634,0.88522,0.50508,1.51378,1.12076,1.47563,0.000218,0.000218,0.000218
20,1069.08,1.29395,1.03053,1.47877,0.93507,0.80092,0.95074,0.50565,1.43516,1.06145,1.44245,0.000119,0.000119,0.000119
